customer_id,customer_name,customer_segment,risk_rating,customer_status,account_count,open_account_count,closed_account_count,total_current_balance,average_current_balance,total_overdraft_limit,negative_balance_account_count,first_account_opened_date,latest_account_opened_date
1,Margaret Hawkins DDS,Premium,Medium,Active,1,1,0,64350.63,64350.63,0.0,0,2025-06-12,2025-06-12
2,Jennifer Robinson,Retail,Low,Active,1,1,0,11865.77,11865.77,10000.0,0,2025-06-12,2025-06-12
3,Jeffrey Chavez,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
4,David Bradley,Premium,Low,Active,3,2,1,105211.47,35070.49,5000.0,0,2025-08-20,2025-12-03
5,Joseph Martinez,Student,Low,Active,0,0,0,0.0,0.0,0.0,0,,
6,John Russell,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
7,Thomas Ramos,Retail,Medium,Active,2,2,0,14875.43,7437.72,1500.0,0,2025-11-06,2025-12-13
8,Richard Gibson,Student,Medium,Closed,0,0,0,0.0,0.0,0.0,0,,
9,Angela Lopez,Business,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
10,Michael Evans,Premium,Low,Active,2,2,0,37832.98,18916.49,500.0,0,2023-05-24,2023-08-05
11,Roy Warner,Premium,High,Active,0,0,0,0.0,0.0,0.0,0,,
12,Terry Williams,Business,Low,Active,0,0,0,0.0,0.0,0.0,0,,
13,Brittany Anderson,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
14,Ashley Brennan,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
15,Victoria Johnson,Premium,Very High,Active,1,1,0,-1624.49,-1624.49,0.0,1,2023-12-24,2023-12-24
16,Belinda Mccullough,Retail,High,Active,3,3,0,144448.56,48149.52,7000.0,0,2023-02-14,2025-12-21
17,Jeffrey Carpenter,Retail,Low,Active,1,1,0,40959.97,40959.97,1000.0,0,2023-08-21,2023-08-21
18,Angel Riggs,Retail,Low,Blocked,3,3,0,46849.56,15616.52,0.0,0,2022-09-26,2025-04-14
19,Barbara Anderson,Retail,Low,Active,2,2,0,62296.32,31148.16,500.0,0,2025-01-12,2025-11-11
20,Cynthia Rogers,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
21,Sarah Ashley,Retail,Low,Active,1,1,0,44256.25,44256.25,0.0,0,2025-11-02,2025-11-02
22,Mary Miller,Premium,Very High,Active,2,2,0,396320.29,198160.15,55000.0,0,2025-11-21,2025-12-16
23,Rachael Pearson,Retail,Medium,Active,3,3,0,68491.16,22830.39,1500.0,0,2023-07-07,2024-06-13
24,Alexander Collins,Retail,Low,Active,1,1,0,249059.49,249059.49,10000.0,0,2025-12-05,2025-12-05
25,Gloria Atkinson,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
26,John Bishop,Student,Medium,Active,3,3,0,187408.62,62469.54,50500.0,0,2024-05-18,2025-05-29
27,Alan Phillips,Business,Low,Active,1,1,0,24458.23,24458.23,500.0,0,2022-07-27,2022-07-27
28,John Hardy,Business,Medium,Active,1,1,0,-3671.64,-3671.64,1000.0,1,2023-04-24,2023-04-24
29,Glen Sheppard,Student,High,Active,1,1,0,19090.27,19090.27,5000.0,0,2023-12-22,2023-12-22
30,Jamie Kerr,Retail,High,Active,2,2,0,53432.41,26716.21,5500.0,0,2024-07-19,2024-10-12
31,Jerry Wheeler,Retail,Low,Active,1,1,0,51478.71,51478.71,500.0,0,2023-11-16,2023-11-16
32,Christopher Parker,Business,Low,Active,2,2,0,42646.59,21323.3,500.0,0,2025-05-10,2025-08-13
33,Pamela Thompson,Premium,Low,Active,2,1,1,31573.59,15786.8,3000.0,0,2025-05-10,2025-07-19
34,David Wilson,Retail,Medium,Active,2,2,0,101875.84,50937.92,3000.0,0,2025-11-17,2025-12-07
35,Lisa Allen,Retail,Medium,Active,2,2,0,148869.52,74434.76,5000.0,0,2024-10-29,2025-04-17
36,Janet Weeks,Retail,Low,Active,4,4,0,129107.04,32276.76,7500.0,0,2022-11-18,2025-07-03
37,Frank Lopez,Premium,Medium,Active,1,1,0,58163.92,58163.92,0.0,0,2023-11-22,2023-11-22
38,Charles Pitts,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
39,Michael Berger,Premium,Low,Active,1,1,0,45720.39,45720.39,500.0,0,2025-12-31,2025-12-31
40,Michael Nolan,Retail,Medium,Active,3,3,0,74181.4,24727.13,2000.0,0,2025-06-20,2025-12-11
41,Ronald Foster,Retail,Medium,Active,4,4,0,137759.38,34439.85,31500.0,0,2024-12-28,2025-11-06
42,Edward Burgess,Premium,High,Active,1,1,0,35554.48,35554.48,1000.0,0,2025-10-01,2025-10-01
43,Jordan Chambers,Premium,Medium,Active,3,3,0,209845.53,69948.51,12000.0,0,2023-01-29,2025-11-14
44,Elizabeth Vasquez,Student,High,Active,0,0,0,0.0,0.0,0.0,0,,
45,Trevor Foley,Student,Medium,Active,2,2,0,52729.65,26364.83,10000.0,0,2025-03-28,2025-07-20
46,Crystal Schroeder,Business,Medium,Active,2,2,0,49610.33,24805.17,0.0,0,2023-01-13,2023-07-20
47,Richard Palmer,Retail,Medium,Active,2,2,0,240651.95,120325.98,55000.0,0,2024-08-21,2025-05-20
48,Kerry Chavez DDS,Retail,Low,Active,3,3,0,80712.91,26904.3,7000.0,0,2025-02-21,2025-11-19
49,Patrick Watson,Retail,Low,Closed,0,0,0,0.0,0.0,0.0,0,,
50,Holly Farmer,Business,Low,Active,2,2,0,204927.08,102463.54,25000.0,0,2023-03-02,2025-08-21
51,Valerie Davis,Retail,Medium,Active,1,1,0,48825.17,48825.17,0.0,0,2025-07-10,2025-07-10
52,Paul Wilson,Premium,Medium,Active,1,1,0,59919.62,59919.62,2000.0,0,2025-04-09,2025-04-09
53,Adam Burgess,Business,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
54,Jennifer Wilson,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
55,Ashley Hicks,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
56,John Welch,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
57,John Hernandez,Retail,Low,Active,2,2,0,62472.86,31236.43,6000.0,0,2024-04-02,2025-05-10
58,Maria Jones,Retail,Medium,Active,1,1,0,-1530.27,-1530.27,1000.0,1,2025-11-15,2025-11-15
59,Erin Anderson,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
60,Christopher Schwartz,Student,Low,Active,0,0,0,0.0,0.0,0.0,0,,
61,Paula Shaw,Retail,Low,Active,2,2,0,94225.16,47112.58,5000.0,0,2025-09-23,2025-12-25
62,Courtney Hayes,Student,Medium,Active,1,1,0,-3081.02,-3081.02,1000.0,1,2025-10-18,2025-10-18
63,Kaitlyn Guerra,Business,Medium,Active,3,3,0,237278.02,79092.67,50000.0,0,2023-07-19,2024-04-29
64,Riley Bryant,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
65,Heather Ashley,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
66,Robin Thompson,Retail,Low,Active,1,1,0,2788.5,2788.5,500.0,0,2024-03-19,2024-03-19
67,Paul Lee,Premium,High,Active,2,2,0,39060.6,19530.3,15000.0,0,2024-02-22,2024-03-17
68,Erica Miller,Student,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
69,David Brewer,Retail,Low,Active,1,1,0,61915.72,61915.72,0.0,0,2024-10-14,2024-10-14
70,Mr. Justin Green III,Retail,Very High,Active,1,0,1,5448.01,5448.01,500.0,0,2024-11-04,2024-11-04
71,Barbara Harris,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
72,Angela Compton,Retail,Medium,Blocked,1,0,1,16489.77,16489.77,5000.0,0,2024-02-05,2024-02-05
73,Mark Pierce,Business,Low,Closed,1,1,0,-436.57,-436.57,5000.0,1,2025-04-14,2025-04-14
74,Pamela Butler,Retail,Low,Active,2,2,0,64258.69,32129.35,500.0,0,2025-08-31,2025-11-07
75,Emma Travis,Retail,Low,Active,1,1,0,14156.12,14156.12,0.0,0,2025-05-20,2025-05-20
76,Taylor Griffith,Student,Medium,Active,2,2,0,19419.86,9709.93,4000.0,0,2025-07-06,2025-12-27
77,Kyle Cameron,Premium,Low,Active,2,2,0,53117.47,26558.74,5000.0,0,2025-01-19,2025-06-25
78,Pamela Ramirez,Student,High,Active,2,2,0,35143.9,17571.95,0.0,1,2023-05-06,2024-07-17
79,Kaylee Murphy,Retail,Low,Active,0,0,0,0.0,0.0,0.0,0,,
80,Rachel Parsons,Retail,Low,Active,1,1,0,58343.06,58343.06,2000.0,0,2025-05-17,2025-05-17
81,Jennifer Hampton,Retail,Low,Active,3,3,0,173352.65,57784.22,10500.0,0,2023-05-28,2025-10-03
82,Edwin David,Retail,Medium,Active,0,0,0,0.0,0.0,0.0,0,,
83,Mary Burgess,Retail,Low,Active,1,1,0,6638.6,6638.6,0.0,0,2025-10-18,2025-10-18
84,Brenda Oconnell,Retail,Medium,Blocked,0,0,0,0.0,0.0,0.0,0,,
85,Alexandra Bradley,Retail,Medium,Inactive,1,1,0,21922.2,21922.2,0.0,0,2025-12-09,2025-12-09
