loan_id,customer_id,customer_name,customer_segment,customer_risk_rating,is_pep,account_id,branch_id,branch_name,region,loan_type,application_date,approval_date,loan_amount,interest_rate,term_months,monthly_installment,loan_status,risk_grade,payment_rows_count,has_payment_schedule,total_expected_amount,total_paid_amount,outstanding_scheduled_amount,collection_rate_pct,late_payment_count,partially_paid_payment_count,missed_payment_count,pending_payment_count,max_days_past_due,average_days_past_due,invalid_dpd_count
1098,4597,Andrew Padilla,Business,Medium,0,211,1,Košice Branch 01,Košický,Auto Loan,2022-07-02,2022-07-15,26117.28,3.746,84,322.57,Active,A,21,True,6773.97,5455.02,1318.95,80.53,2,2,3,0,128.0,65.86,0
910,1763,Francisco Smith DVM,Business,Medium,0,5475,1,Košice Branch 01,Košický,Mortgage,2022-06-03,2022-06-28,292389.26,4.371,120,2543.08,Active,B,10,True,25430.8,25430.8,0.0,100.0,2,0,0,0,85.0,43.5,0
744,2657,Tiffany Thompson,Student,Medium,0,5687,1,Košice Branch 01,Košický,Auto Loan,2024-03-17,2024-03-23,44852.29,7.964,48,1008.84,Active,C,26,True,26229.84,24969.24,1260.6,95.19,1,3,0,0,84.0,39.0,0
152,2954,Cynthia Pruitt,Premium,Low,0,2665,1,Košice Branch 01,Košický,Mortgage,2023-02-09,2023-03-05,128910.68,3.247,180,739.42,Active,C,34,True,25140.28,21642.04,3498.24,86.09,1,2,2,2,135.0,71.8,0
372,1563,Rita Brown,Retail,Low,0,1723,1,Košice Branch 01,Košický,Consumer Loan,2023-07-01,2023-07-25,23169.05,5.118,12,2029.57,Active,E,7,True,14206.99,14206.99,0.0,100.0,0,0,0,0,,,0
48,2424,Katherine Smith DDS,Retail,Low,1,4246,1,Košice Branch 01,Košický,Consumer Loan,2023-03-11,2023-04-05,33894.23,6.9,72,503.24,Delinquent,D,19,True,9561.56,9147.12,414.44,95.67,1,0,1,0,128.0,89.0,0
1079,619,David Blackburn,Retail,Low,0,4733,1,Košice Branch 01,Košický,Auto Loan,2023-06-14,2023-06-17,26798.44,6.208,84,338.83,Active,A,32,True,10842.56,9773.44,1069.12,90.14,3,1,1,2,99.0,59.2,0
134,2791,Megan Jones,Retail,Low,0,3697,1,Košice Branch 01,Košický,Consumer Loan,2023-10-05,2023-10-27,21201.45,11.163,48,491.0,Active,B,17,True,8347.0,7856.0,491.0,94.12,2,0,0,1,66.0,59.5,0
133,1125,Johnny Pierce,Retail,Medium,0,182,1,Košice Branch 01,Košický,Consumer Loan,2024-05-23,2024-06-16,11632.69,8.551,72,175.38,Active,B,23,True,4033.74,3347.72,686.02,82.99,5,3,2,0,123.0,47.25,2
1444,516,Elizabeth Weber,Premium,Low,0,111,1,Košice Branch 01,Košický,Credit Line,2025-06-07,2025-06-21,20212.1,7.347,12,1808.09,Active,B,6,True,10848.54,10848.54,0.0,100.0,0,0,0,0,,,0
808,125,Audrey Salazar,Business,Medium,0,1156,1,Košice Branch 01,Košický,Auto Loan,2025-10-06,2025-10-30,57661.57,6.668,48,1281.38,Active,B,6,True,7688.28,6016.03,1672.25,78.25,1,1,1,0,175.0,88.0,1
705,3450,David Mills,Student,Low,0,7388,1,Košice Branch 01,Košický,Mortgage,2025-11-22,2025-12-15,320576.85,5.748,240,1412.52,Active,A,5,True,7062.6,7062.6,0.0,100.0,0,0,0,0,,,0
1391,4674,Seth Tate,Retail,Low,0,3373,1,Košice Branch 01,Košický,Mortgage,2022-06-05,2022-07-04,90766.28,4.137,120,787.68,Active,B,23,True,18116.64,16669.93,1446.71,92.01,1,2,0,1,45.0,42.5,1
1000,4749,Steven Cohen,Student,Low,0,485,1,Košice Branch 01,Košický,Consumer Loan,2024-03-12,2024-03-22,33399.58,5.258,84,418.52,Closed,C,25,True,10463.0,9971.0,492.0,95.3,0,1,1,0,166.0,105.5,0
92,4460,Karen Thompson,Premium,Very High,0,3619,1,Košice Branch 01,Košický,Credit Line,2025-02-16,2025-02-21,4169.59,16.891,24,203.08,Active,C,9,True,1827.72,1827.72,0.0,100.0,0,0,0,0,,,0
583,2097,Jordan Smith,Retail,High,0,5875,1,Košice Branch 01,Košický,Consumer Loan,2022-02-14,2022-03-10,7351.88,10.551,84,96.76,Active,D,19,True,1838.44,1627.11,211.33,88.5,2,4,0,0,30.0,17.0,1
877,1673,Kayla Brooks,Retail,Medium,0,3869,1,Košice Branch 01,Košický,Mortgage,2025-10-08,2025-10-18,288903.77,4.354,120,2512.36,Active,A,6,True,15074.16,12561.8,2512.36,83.33,0,0,1,0,128.0,128.0,0
1116,2619,Elizabeth Medina,Retail,Low,0,5413,1,Košice Branch 01,Košický,Credit Line,2023-05-31,2023-06-26,18832.15,14.611,24,899.32,Active,C,22,True,19785.04,17986.4,1798.64,90.91,2,0,0,2,24.0,24.0,1
1222,3849,Christine Berry,Retail,Low,0,2294,1,Košice Branch 01,Košický,Mortgage,2022-06-03,2022-06-20,337328.96,5.863,240,1487.94,Active,D,41,True,61005.54,52185.25,8820.29,85.54,4,3,3,2,177.0,55.1,0
1496,299,Jeffrey Braun,Business,Low,0,6167,1,Košice Branch 01,Košický,Auto Loan,2022-03-26,2022-04-19,52759.01,4.714,84,657.69,Approved,A,27,True,17757.63,15126.87,2630.76,85.19,2,0,1,3,84.0,63.33,0
1479,3542,Manuel Hutchinson,Retail,Medium,0,4322,1,Košice Branch 01,Košický,Mortgage,2024-03-13,2024-04-10,349475.17,3.658,300,1207.53,Defaulted,C,25,True,30188.25,27238.74,2949.51,90.23,3,2,1,0,166.0,44.33,0
800,2199,Matthew Aguilar,Retail,Low,0,5123,1,Košice Branch 01,Košický,Consumer Loan,2023-07-17,2023-08-10,3128.65,6.383,36,92.45,Active,B,24,True,2218.8,2084.12,134.68,93.93,1,1,1,0,47.0,35.0,0
100,2836,Madeline Sutton,Premium,Low,0,317,1,Košice Branch 01,Košický,Auto Loan,2025-05-25,2025-06-21,51793.36,6.078,72,763.07,Active,A,9,True,6867.63,6867.63,0.0,100.0,0,0,0,0,,,0
389,1429,Rachel Jensen,Retail,Medium,0,4023,1,Košice Branch 01,Košický,Consumer Loan,2023-10-12,2023-10-29,38548.44,6.889,84,490.52,Active,C,27,True,13244.04,11603.1,1640.94,87.61,2,3,0,2,81.0,48.2,0
532,3507,George Moore,Retail,Low,0,3817,1,Košice Branch 01,Košický,Mortgage,2022-03-05,2022-03-30,75153.94,5.538,120,660.97,Active,A,31,True,20490.07,18922.7,1567.37,92.35,0,1,1,1,129.0,66.5,0
115,4093,Chad Ramirez,Premium,Low,0,7108,1,Košice Branch 01,Košický,Mortgage,2025-12-10,2025-12-27,183483.23,3.458,300,632.76,Active,A,5,True,3163.8,2531.04,632.76,80.0,1,0,0,1,7.0,7.0,0
792,294,Rebekah Crosby,Student,Low,0,4209,1,Košice Branch 01,Košický,Consumer Loan,2022-01-13,2022-02-02,13700.81,13.298,72,215.59,Active,B,34,True,7330.06,6499.77,830.29,88.67,2,0,2,2,71.0,49.25,0
1009,2321,Jeffrey Berg,Retail,Medium,0,4278,1,Košice Branch 01,Košický,Mortgage,2024-01-16,2024-02-03,153712.47,5.26,240,674.16,Active,E,27,True,18202.32,17210.42,991.9,94.55,3,2,1,0,161.0,57.83,0
109,145,Dennis Marshall,Business,Low,0,5643,1,Košice Branch 01,Košický,Mortgage,2025-08-29,2025-08-30,334271.96,3.759,240,1445.16,Delinquent,D,9,True,13006.44,10802.34,2204.1,83.05,1,1,1,0,51.0,39.33,0
1138,2908,Samuel Green,Business,Low,0,6058,1,Košice Branch 01,Košický,Consumer Loan,2025-09-04,2025-09-21,31598.63,9.131,24,1436.83,Closed,C,8,True,11494.64,9077.31,2417.33,78.97,1,1,1,0,34.0,19.33,0
1115,299,Jeffrey Braun,Business,Low,0,1113,1,Košice Branch 01,Košický,Consumer Loan,2022-02-26,2022-03-24,38954.08,13.786,84,527.67,Active,A,50,True,26383.5,23663.55,2719.95,89.69,8,1,2,3,82.0,40.2,1
901,4597,Andrew Padilla,Business,Medium,0,211,1,Košice Branch 01,Košický,Auto Loan,2024-05-03,2024-05-09,33381.91,7.761,36,999.24,Active,A,10,True,9992.4,9992.4,0.0,100.0,1,0,0,0,5.0,5.0,0
748,28,John Hardy,Business,Medium,0,5200,1,Košice Branch 01,Košický,Consumer Loan,2023-03-09,2023-03-25,10524.85,5.045,36,307.11,Active,E,8,True,2456.88,1900.34,556.54,77.35,0,0,1,1,136.0,136.0,0
331,1106,Peter Jimenez,Business,Low,0,4452,1,Košice Branch 01,Košický,Auto Loan,2022-06-03,2022-06-13,56375.64,7.379,72,840.77,Active,A,24,True,20178.48,17381.65,2796.83,86.14,2,2,1,1,173.0,67.2,0
1286,329,Rachael Lynch,Retail,Low,0,314,1,Košice Branch 01,Košický,Auto Loan,2022-10-11,2022-11-10,22843.67,5.513,48,502.15,Delinquent,D,6,True,3012.9,3012.9,0.0,100.0,0,0,0,0,,,0
1500,4749,Steven Cohen,Student,Low,0,485,1,Košice Branch 01,Košický,Consumer Loan,2022-12-02,2022-12-13,4883.15,5.666,60,86.0,Closed,C,11,True,946.0,789.02,156.98,83.41,1,1,1,0,134.0,59.0,0
1257,1647,John Oneal,Premium,Medium,0,4627,1,Košice Branch 01,Košický,Auto Loan,2023-11-23,2023-12-12,31187.21,7.904,72,467.39,Active,C,19,True,8880.41,8413.02,467.39,94.74,2,0,1,0,49.0,41.0,1
1259,1904,Robert Bell,Retail,Low,1,1070,1,Košice Branch 01,Košický,Mortgage,2023-12-12,2024-01-08,82440.89,3.358,300,284.03,Active,C,18,True,5112.54,4544.48,568.06,88.89,2,0,2,0,162.0,87.67,1
1288,767,Patricia Hayes,Business,Low,0,5329,1,Košice Branch 01,Košický,Consumer Loan,2024-03-14,2024-04-13,24644.44,4.757,84,307.34,Closed,C,25,True,7683.5,6963.32,720.18,90.63,2,1,1,1,51.0,35.0,0
1289,4115,Todd Carter,Retail,Low,0,1292,1,Košice Branch 01,Košický,Credit Line,2023-03-20,2023-04-05,12974.43,9.534,12,1184.28,Active,B,6,True,7105.68,7105.68,0.0,100.0,0,0,0,0,,,0
924,701,Thomas Harris,Premium,Low,0,6870,1,Košice Branch 01,Košický,Consumer Loan,2024-08-19,2024-08-20,36878.58,4.038,48,799.33,Closed,B,13,True,10391.29,8792.63,1598.66,84.62,0,0,2,0,146.0,97.0,0
187,1164,Jeremy Cruz,Retail,Medium,0,5376,1,Košice Branch 01,Košický,Consumer Loan,2025-10-31,2025-11-03,15833.26,10.746,36,487.08,Closed,A,6,True,2922.48,2922.48,0.0,100.0,0,0,0,0,,,0
1242,2580,Robert Farmer,Retail,High,0,4973,1,Košice Branch 01,Košický,Consumer Loan,2024-10-23,2024-10-29,9826.24,9.466,24,448.18,Active,A,19,True,8515.42,8329.66,185.76,97.82,2,1,0,0,23.0,16.0,0
1458,2137,Bradley English,Premium,Low,0,5456,1,Košice Branch 01,Košický,Auto Loan,2025-09-08,2025-09-13,52390.18,8.856,72,792.08,Closed,B,8,True,6336.64,5026.83,1309.81,79.33,2,1,1,0,71.0,34.5,0
713,1043,Alexis Campbell,Retail,Low,0,6158,1,Košice Branch 01,Košický,Consumer Loan,2023-08-13,2023-08-19,14865.04,9.024,24,675.27,Active,B,16,True,10804.32,8959.41,1844.91,82.92,1,3,0,3,30.0,17.25,0
1049,2332,Willie Frederick,Retail,Low,0,5023,1,Košice Branch 01,Košický,Auto Loan,2023-05-08,2023-05-18,44573.66,7.589,60,799.27,Active,D,16,True,12788.32,11636.33,1151.99,90.99,1,1,0,1,64.0,49.0,0
30,3577,Joseph Williams,Student,Low,0,2853,1,Košice Branch 01,Košický,Consumer Loan,2022-10-05,2022-10-13,22304.46,8.784,12,2021.97,Active,B,7,True,14153.79,12999.7,1154.09,91.85,2,1,0,0,84.0,52.33,0
1018,920,Nina Combs,Retail,Low,0,1829,1,Košice Branch 01,Košický,Credit Line,2025-06-15,2025-07-01,15974.69,9.348,24,727.83,Defaulted,E,9,True,6550.47,6157.93,392.54,94.01,1,1,0,0,83.0,55.0,0
612,4468,Carol Greene,Retail,Low,0,4204,1,Košice Branch 01,Košický,Consumer Loan,2024-01-15,2024-01-17,30232.11,13.649,60,572.64,Delinquent,B,16,True,9162.24,8455.05,707.19,92.28,1,1,0,1,39.0,27.0,0
621,2137,Bradley English,Premium,Low,0,5456,1,Košice Branch 01,Košický,Auto Loan,2024-07-30,2024-07-31,55191.43,4.455,48,1201.05,Active,B,6,True,7206.3,6930.41,275.89,96.17,1,1,0,0,43.0,24.5,0
1449,3307,Juan Wang,Retail,Low,0,3559,1,Košice Branch 01,Košický,Mortgage,2022-07-27,2022-08-10,278488.18,5.166,300,976.25,Active,B,33,True,32216.25,28680.34,3535.91,89.02,5,3,2,0,168.0,55.67,0
352,1306,Andrew Green,Premium,Low,0,3876,1,Košice Branch 01,Košický,Auto Loan,2022-04-24,2022-05-16,52334.0,4.328,60,909.98,Active,C,14,True,12739.72,12289.82,449.9,96.47,0,1,0,0,7.0,7.0,0
